DATE	NAME	CIK	FIRM	SOURCE	BLACK	MALE	FEMALE	LGBT	NONBINARY	ASIAN	LATINX	DIRECTORS	NOTES	DND_GENDER	DND_DEMO
2022	BullFrog AI Holdings, Inc.	1829247	bfrg	proxy											
2022	BGC Group, Inc.	1094831	bgc	proxy											
2022	BioNexus Gene Lab Corp	1737523	bglc	proxy											
2022	Blue Hat Interactive Entertainment Technology	1759136	bhat	proxy											
2022	Burke & Herbert Financial Services Corp.	1964333	bhrb	proxy											
2022	bioAffinity Technologies, Inc.	1712762	biaf	proxy											
2022	Baidu, Inc.	1329099	bidu	proxy											
2022	Bilibili Inc.	1723690	bili	proxy											
2022	Bioceres Crop Solutions Corp.	1769484	biox	proxy											
2022	Bitfarms Ltd	1812477	bitf	proxy											
2022	Ballard Power Systems Inc.	1453015	bldp	proxy											
2022	BioLineRx Ltd.	1498403	blrx	proxy											
2022	BELITE BIO, INC	1889109	blte	proxy											
2022	Beamr Imaging Ltd.	1899005	bmr	proxy											
2022	BitNile Metaverse, Inc.	1437491	bnmv	proxy											
2022	BIONOMICS LIMITED/FI	1191070	bnox	proxy											
2022	Burning Rock Biotech Ltd	1792267	bnr	proxy											
2022	Brenmiller Energy Ltd.	1901215	bnrg	proxy											
2022	BioNTech SE	1776985	bntx	proxy											
2022	BranchOut Food Inc.	1962481	bof	proxy											
2022	Bon Natural Life Ltd	1816815	bon	proxy											
2022	BOS BETTER ONLINE SOLUTIONS LTD	1005516	bosc	proxy											
2022	Bowen Acquisition Corp	1973056	bown	proxy											
2022	Princeton Bancorp, Inc.	1913971	bprn	proxy											
2022	Biophytis SA	1768946	bpts	proxy											
2022	Brookfield Property Partners L.P.	1545772	bpypm	proxy											
2022	Bragg Gaming Group Inc.	1867834	brag	proxy											
2022	Brera Holdings PLC	1939965	brea	proxy											
2022	Brooge Energy Ltd	1774983	brog	proxy											
2022	Borqs Technologies, Inc.	1650575	brqs	proxy											
2022	Bruush Oral Care Inc.	1913210	brsh	proxy											
2022	Bit Digital, Inc	1710350	btbt	proxy											
2022	BIOTRICITY INC.	1630113	btcy	proxy											
2022	Bitdeer Technologies Group	1899123	btdr	proxy											
2022	Bitcoin Depot Inc.	1901799	btm	proxy											
2022	biote Corp.	1819253	btmd	proxy											
2022	BIT ORIGIN Ltd	1735556	btog	proxy											
2022	BV Financial, Inc.	1302387	bvfl	proxy											
2022	Brainsway Ltd.	1505065	bway	proxy											
2022	BETTERWARE DE MEXICO, S.A.P.I. DE C.V	1788257	bwmx	proxy											
2022	BeyondSpring Inc.	1677940	bysi	proxy											
2022	Kanzhun Ltd	1842827	bz	proxy											
2022	Baozun Inc.	1625414	bzun	proxy											
2022	Caravelle International Group	1928948	caco	proxy											
2022	CalciMedica, Inc.	1534133	calc	proxy											
2022	Calliditas Therapeutics AB	1795579	calt	proxy											
2022	CAMTEK LTD	1109138	camt	proxy											
2022	Canaan Inc.	1780652	can	proxy											
2022	Carisma Therapeutics Inc.	1485003	carm	proxy											
2022	Maplebear Inc.	1579091	cart	proxy											
2022	CASI Pharmaceuticals, Inc.	1962738	casi	proxy											
2022	CATALYST BIOSCIENCES, INC.	1124105	cbio	proxy											
2022	Cibus, Inc.	1705843	cbus	proxy											
2022	COCA-COLA EUROPACIFIC PARTNERS plc	1650107	ccep	proxy											
2022	Cheche Group Inc.	1965473	ccg	proxy											
2022	CareCloud, Inc.	1582982	ccld	proxy											
2022	CSI Compressco LP	1449488	cclp	proxy											
2022	Chindata Group Holdings Ltd	1807192	cd	proxy											
2022	Cardio Diagnostics Holdings, Inc.	1870144	cdio	proxy											
2022	Codere Online Luxembourg, S.A.	1866782	cdro	proxy											
2022	CECO ENVIRONMENTAL CORP	3197	ceco	proxy											
2022	Constellation Energy Corp	1868275	ceg	proxy											
2022	PhenomeX Inc.	1689657	cell	proxy											
2022	CENNTRO ELECTRIC GROUP Ltd	1707919	cenn	proxy											
2022	Clean Energy Technologies, Inc.	1329606	cety	proxy											
2022	CF Acquisition Corp. VIII	1839530	cffe	proxy											
2022	CFSB Bancorp, Inc. /MA/	1879103	cfsb	proxy											
2022	COMPUGEN LTD	1119774	cgen	proxy											
2022	Cognyte Software Ltd.	1824814	cgnt	proxy											
2022	CALAMOS GLOBAL TOTAL RETURN FUND	1285650	cgo	proxy											
2022	Check-Cap Ltd	1610590	chek	proxy											
2022	CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND	1171471	chi	proxy											
2022	CHECK POINT SOFTWARE TECHNOLOGIES LTD	1015922	chkp	proxy											
2022	CHINA NATURAL RESOURCES INC	793628	chnr	proxy											
2022	CHS INC	823277	chscl	proxy											
2022	Chanson International Holding	1825349	chsn	proxy											
2022	Calamos Global Dynamic Income Fund	1396277	chw	proxy											
2022	CALAMOS CONVERTIBLE & HIGH INCOME FUND	1222719	chy	proxy											
2022	Colliers International Group Inc.	913353	cigi	proxy											
2022	CISO Global, Inc.	1777319	ciso	proxy											
2022	C3is Inc.	1951067	ciss	proxy											
2022	Chijet Motor Company, Inc.	1957413	cjet	proxy											
2022	China Jo-Jo Drugstores Holdings, Inc.	1856084	cjjd	proxy											
2022	Cellebrite DI Ltd.	1854587	clbt	proxy											
2022	China Liberal Education Holdings Ltd	1775085	cleu	proxy											
2022	CollPlant Biotechnologies Ltd	1631487	clgn	proxy											
2022	Clean Earth Acquisitions Corp.	1883984	clin	proxy											
2022	Cellectis S.A.	1627281	clls	proxy											
2022	Climb Global Solutions, Inc.	945983	clmb	proxy											
2022	Calumet Specialty Products Partners, L.P.	1340122	clmt	proxy											
2022	CLPS Inc	1724542	clps	proxy											
2022	EURO TECH HOLDINGS CO LTD	1026662	clwt	proxy											
2022	Clearmind Medicine Inc.	1892500	cmnd	proxy											
2022	Comera Life Sciences Holdings, Inc.	1907685	cmra	proxy											
2022	CN ENERGY GROUP. INC.	1780785	cney	proxy											
2022	Connect Biopharma Holdings Ltd	1835268	cntb	proxy											
2022	Centogene N.V.	1757097	cntg	proxy											
2022	Cineverse Corp.	1173204	cnvs	proxy											
2022	Connexa Sports Technologies Inc.	1674440	cnxa	proxy											
2022	Coeptis Therapeutics Holdings, Inc.	1759186	coep	proxy											
2022	Coya Therapeutics, Inc.	1835022	coya	proxy											
2022	Capital Product Partners L.P.	1392326	cplp	proxy											
2022	Pop Culture Group Co., Ltd	1807389	cpop	proxy											
2022	Calamos Long/Short Equity & Dynamic Income Trust	1717457	cpz	proxy											
2022	Cardiol Therapeutics Inc.	1702123	crdl	proxy											
2022	CRESUD INC	1034957	cresw	proxy											
2022	CERAGON NETWORKS LTD	1119769	crnt	proxy											
2022	CervoMed Inc.	1053691	crvo	proxy											
2022	Canadian Solar Inc.	1375877	csiq	proxy											
2022	Complete Solaria, Inc.	1838987	cslr	proxy											
2022	CALAMOS STRATEGIC TOTAL RETURN FUND	1275214	csq	proxy											
2022	Caesarstone Ltd.	1504379	cste	proxy											
2022	Carmell Corp	1842939	ctcx	proxy											
2022	CHEETAH NET SUPPLY CHAIN SERVICE INC.	1951667	ctnt	proxy											
2022	Castor Maritime Inc.	1720161	ctrm	proxy											
2022	CureVac N.V.	1809122	cvac	proxy											
2022	CENTRAL VALLEY COMMUNITY BANCORP	1127371	cvcy	proxy											
2022	Cadrenal Therapeutics, Inc.	1937993	cvkd	proxy											
2022	CaliberCos Inc.	1627282	cwd	proxy											
2022	CXApp Inc.	1820875	cxai	proxy											
2022	CyberArk Software Ltd.	1598110	cybr	proxy											
2022	Altamira Therapeutics Ltd.	1601936	cyto	proxy											
2022	Dada Nexus Ltd	1793862	dada	proxy											
2022	Docebo Inc.	1829959	dcbo	proxy											
